creator_id,creator_name,followers,likes,comments,shares,reach,impressions,engagement_rate,posts,niche,authenticity_score,growth_score,brand_match_score,ratefluencer_score,fake_account,tier
1,vanessaaalfaro,134843,6857,444,225,265140,546802,6.572267289307336,8072,food,100,90,100.0,96.5,0,Elite
2,confessionsofdoctordream,170353,11953,700,212,318916,461229,6.924499248946551,15730,beauty,100,90,100.0,96.5,0,Elite
3,smilesciences,203232,12937,471,310,186823,452385,8.024232872002715,10681,beauty,100,90,100.0,96.5,0,Elite
4,mslunamarie,123798,8810,476,256,185801,441743,6.3183527682725895,2470,fashion,100,90,100.0,96.5,0,Elite
5,yogabunnynyc,103869,8656,286,116,166807,351150,10.7813351839202,1338,fashion,100,90,100.0,96.5,0,Elite
6,fra_lifestyle,103351,8154,380,133,192188,233638,10.396500310850543,1315,fashion,100,90,100.0,96.5,0,Elite
7,german_chubby_lover,113140,10906,450,155,117427,168107,9.21401600992487,10019,beauty,100,90,100.0,96.5,0,Elite
8,hass.murad,214759,19458,1148,489,226603,559723,10.707128666580743,2174,fashion,100,90,100.0,96.5,0,Elite
9,thegrubfather,105220,13027,276,104,89547,217409,10.626334926544107,1885,food,100,90,100.0,96.5,0,Elite
10,kwuiseon,104889,7052,381,220,178924,311929,6.70392852608085,1930,food,100,90,100.0,96.5,0,Elite
11,saramontazami,104691,5234,353,223,159914,200843,6.388929219283657,2219,fashion,100,90,100.0,96.5,0,Elite
12,labelcurv,248899,18331,832,320,393436,715169,7.934716234196173,11344,fashion,100,90,100.0,96.5,0,Elite
13,fashionambitionist,144060,14284,835,352,169140,298182,8.002043891420788,1842,fashion,100,90,100.0,96.5,0,Elite
14,look_connected,114624,6054,143,96,109888,144397,5.065950180453521,3604,fashion,100,90,100.0,96.5,0,Elite
15,partywithlenzo,158639,10370,297,163,145817,240996,6.389305350323511,3376,food,100,90,100.0,96.5,0,Elite
16,melaninbeautiesunite,123100,7626,160,80,128714,223366,7.307511838411187,4749,beauty,100,90,100.0,96.5,0,Elite
17,pointsandtravel,104087,8673,507,303,162990,237178,8.72010941635607,2760,travel,100,90,100.0,96.5,0,Elite
18,theperfectpalette,117208,8999,611,284,220028,365279,7.28717409257558,3658,fashion,100,90,100.0,96.5,0,Elite
19,youngadventuress,199626,15514,501,289,162200,395378,6.910724866498689,4126,travel,100,90,100.0,96.5,0,Elite
20,yogajosey,135381,11031,772,290,120683,170753,6.848734370398937,2057,fitness,100,90,100.0,96.5,0,Elite
21,ugomozie,104116,11485,902,459,149660,254443,9.292879014345546,4766,fashion,100,90,100.0,96.5,0,Elite
22,musculardevelopment,117490,8131,332,123,171932,292469,9.736462970958888,2254,fitness,100,90,100.0,96.5,0,Elite
23,tylauren,100780,5189,245,107,137826,315495,7.060799385830641,4109,fashion,100,90,100.0,96.5,0,Elite
24,ohfitness_ie,109745,11457,293,188,126678,155978,10.24282292061842,4123,fitness,100,90,100.0,96.5,0,Elite
25,ahvaz_coffee,131918,13683,707,307,162038,220652,8.778736811630566,4476,food,100,90,100.0,96.5,0,Elite
26,anewdawnn,106741,9404,344,161,162291,261748,9.329502834647812,1820,travel,100,90,100.0,96.5,0,Elite
27,maketodayahollyday,130039,8909,397,124,141644,301653,5.9474436855498265,1966,fashion,100,90,100.0,96.5,0,Elite
