creator_id,tier,niche,followers,likes,comments,shares,saves,reach,impressions,engagement_rate,comment_ratio,share_ratio,save_ratio,audience_quality,posting_consistency,posts_per_week,growth_rate,authenticity_score,growth_score,fake_account
1,Nano,Education,1860,108,8,7,3,4549,10382,4.27,0.0721,0.0625,0.0319,57.8,49.36,6,7.12,83.68,35.58,0
2,Nano,Lifestyle,9666,907,51,72,65,21728,45290,8.39,0.0568,0.079,0.072,98.69,53.97,9,10.24,100.0,51.21,0
3,Nano,Gaming,9792,1793,130,125,82,13747,19753,15.47,0.0727,0.07,0.0456,50.8,53.85,4,9.64,82.75,48.21,0
4,Micro,Gaming,50757,3075,111,98,105,65253,111275,4.26,0.0362,0.0318,0.0341,96.97,93.69,2,4.48,76.11,22.42,0
5,Micro,Music,96807,4771,241,99,228,191718,427000,5.51,0.0505,0.0208,0.0479,58.26,40.94,11,4.87,60.66,24.34,0
6,Nano,Gaming,7278,1474,73,79,95,17824,41060,18.56,0.0492,0.0537,0.0645,68.54,80.13,5,10.95,74.99,54.74,0
7,Micro,Music,16910,975,62,52,90,16078,31927,4.13,0.0633,0.0538,0.0926,55.54,66.36,11,7.74,75.55,38.72,0
8,Mid,Music,471369,39285,2070,1073,2438,1099370,1708170,6.02,0.0527,0.0273,0.0621,72.83,53.11,11,7.42,70.96,37.12,0
9,Micro,Travel,65016,2266,218,89,174,127785,213748,4.16,0.096,0.0394,0.0767,70.87,53.33,1,4.12,95.25,20.61,0
10,Micro,Fitness,99474,2947,12,20,41,164697,293510,5.56,0.0041,0.0067,0.0139,20.67,68.83,6,3.67,14.4,18.37,1
11,Nano,Education,5931,358,24,9,38,7576,10929,5.33,0.0675,0.0254,0.1052,86.41,62.07,13,5.96,84.58,29.81,0
12,Nano,Tech,2986,497,20,20,20,7060,16525,11.59,0.0396,0.0405,0.0402,58.72,81.46,3,10.13,61.31,50.65,0
13,Nano,Music,7287,1364,125,43,75,14287,32870,17.69,0.0918,0.0313,0.0551,63.04,99.78,4,12.34,86.81,61.69,0
14,Micro,Tech,22874,1837,2,4,21,44499,91115,6.9,0.001,0.0024,0.0114,34.26,20.46,9,4.92,18.39,24.61,1
15,Nano,Fashion,6699,497,34,25,43,7709,15163,9.18,0.068,0.0505,0.0873,68.32,84.65,6,9.58,83.31,47.91,0
16,Micro,Fitness,59377,3294,104,193,151,142079,346687,7.1,0.0317,0.0587,0.0459,74.63,51.71,5,6.27,70.78,31.36,0
17,Mid,Education,787995,10312,530,324,559,1239913,2088625,2.27,0.0514,0.0315,0.0542,77.64,74.34,10,5.73,73.95,28.64,0
18,Micro,Travel,46631,2633,104,165,210,57530,100430,4.19,0.0396,0.0625,0.0798,62.71,57.72,2,5.87,69.9,29.33,0
19,Mid,Food,764076,26730,2467,1077,1705,664110,1296186,2.7,0.0923,0.0403,0.0638,89.91,79.0,6,4.78,100.0,23.89,0
20,Macro,Travel,13867733,388677,34184,14106,45426,21121629,48466324,3.39,0.088,0.0363,0.1169,51.94,58.2,4,3.98,80.83,19.89,0
21,Micro,Tech,90738,4190,253,271,220,93624,122191,5.14,0.0603,0.0646,0.0526,98.48,82.88,9,6.94,98.8,34.71,0
22,Mid,Music,277247,16647,1212,752,871,371719,812281,5.69,0.0728,0.0452,0.0523,64.0,97.29,9,7.35,81.96,36.76,0
23,Nano,Tech,6188,350,22,21,12,14904,35063,6.68,0.0625,0.059,0.0343,50.86,85.8,4,8.94,74.39,44.68,0
24,Micro,Tech,70160,6263,539,380,511,65340,147313,7.86,0.0861,0.0606,0.0816,97.19,96.66,11,6.8,100.0,34.02,0
25,Mid,Education,599522,12255,23,88,29,763885,1755665,3.94,0.0018,0.0071,0.0024,17.83,23.47,10,0.96,11.98,4.8,1
26,Micro,Education,92745,6263,542,497,420,127027,280644,5.4,0.0865,0.0794,0.0671,90.17,56.92,8,5.34,100.0,26.68,0
27,Mid,Fitness,525695,36458,2361,1581,2070,462597,587282,6.71,0.0648,0.0434,0.0568,87.0,54.29,13,7.41,88.89,37.03,0
28,Macro,Fashion,14423442,516269,43723,13840,58743,35390032,88287888,2.48,0.0847,0.0268,0.1138,80.12,73.22,10,5.4,90.45,26.98,0
29,Micro,Gaming,48102,6698,32,20,57,110895,154209,10.4,0.0048,0.003,0.0085,37.52,61.85,13,4.97,22.08,24.85,1
30,Mid,Tech,792440,35716,3337,953,2655,570903,1032911,4.88,0.0934,0.0267,0.0743,54.18,86.63,10,4.06,81.81,20.32,0
31,Micro,Music,67799,2501,90,129,173,145347,359192,3.77,0.0358,0.0517,0.0693,84.05,54.25,13,5.99,75.44,29.97,0
32,Nano,Fitness,7190,530,51,39,38,13059,20379,9.45,0.0965,0.0734,0.071,79.22,94.07,12,9.0,100.0,44.98,0
33,Micro,Fashion,94665,3967,33,28,16,221485,502615,5.18,0.0083,0.0072,0.0041,49.45,54.91,2,7.73,31.04,38.64,1
