video_id,category,title,title_length,title_word_count,has_number,has_question,has_exclamation,title_caps_ratio,tag_count,desc_length,publish_hour,publish_day,duration_sec,view_count,like_count,comment_count,view_median,view_std,views_z,viral_label
SWekFUqVPnI,Technology,"नवीन Phones घेणं बंद करा! - Best Old Phones from Rs 20,000 to Rs 1,00,000.",74,15,1,0,1,0.08108108108108109,21,1371,7,1,389,109428,2663,203,271836.5,2047479.7535149523,-0.07932117507935786,medium
xJpyi7w9D5I,Technology,Top Upcoming Smartphones - June 2026🔥🔥🔥,39,6,1,0,0,0.10256410256410256,36,1649,12,4,215,49760,1670,94,271836.5,2047479.7535149523,-0.10846334359045873,medium
ky9MI-NSCE8,Technology,Best Smartphones Under 25000 in June 2026 | Don't Buy Wrong Phones! | Gizmo Gyan,80,15,1,0,1,0.125,18,1787,15,5,686,21703,786,82,271836.5,2047479.7535149523,-0.12216653159602212,medium
KyTOr65WH9s,Technology,Top 14+ Best Upcoming Phone Launches ⚡ June 2026,48,9,1,0,0,0.125,24,1792,10,0,492,332143,10675,770,271836.5,2047479.7535149523,0.029454015306608305,medium
9dDIO9qLyF0,Technology,Top 5 Best Smartphones Under ₹20000 Budget ⚡ June 2026,54,10,1,0,0,0.1111111111111111,20,2285,7,4,350,298819,10272,747,271836.5,2047479.7535149523,0.013178396491432242,medium
uVfLQ1ohieM,Technology,Best Smartphone under 25000 🔥🔥 Best Phone under 25000 | Phone under 25000,73,13,1,0,0,0.0684931506849315,16,960,12,5,648,14187,229,43,271836.5,2047479.7535149523,-0.12583738596569152,medium
o5hCb1IhrMA,Technology,"Top Best Smartphones Under ₹20,000 🔥 Best Budget Phones in 2026! 😳",66,12,1,0,1,0.10606060606060606,0,1301,2,1,179,731764,29063,132,271836.5,2047479.7535149523,0.2246310368688299,medium
kmDt4tf3mcQ,Technology,"Don't Buy Wrong Phones ❌ : Buy These Under ₹25,000 ✅",52,11,1,0,0,0.1346153846153846,21,1205,13,0,727,112297,3700,464,271836.5,2047479.7535149523,-0.07791994022217565,medium
Hb3tKVnzQFQ,Technology,OnePlus Nord CE6 Lite 5G Review ✅ Best 5G Phone Under 20000,59,12,1,0,0,0.2033898305084746,21,478,5,6,30,278309,3299,20,271836.5,2047479.7535149523,0.003161203420394522,medium
kRLwyZJAJYY,Technology,All in One Phone 🤯 motorola edge 70 fusion! #smartphone,55,10,1,0,1,0.05454545454545454,27,717,14,0,61,13812932,433754,819,271836.5,2047479.7535149523,6.613543052991714,viral
7ssyc13asa8,Technology,The Best Flagship Deal Right Now!,33,6,0,0,1,0.18181818181818182,1,225,11,2,74,502432,19716,326,271836.5,2047479.7535149523,0.11262406849402627,medium
EShmdul-80g,Technology,Top 5 Best Smartphones Under ₹25000 Budget ⚡ April 2026,55,10,1,0,0,0.10909090909090909,18,2420,7,5,446,928422,25121,1527,271836.5,2047479.7535149523,0.32067984988512127,high
oFnwjMzJ9wI,Technology,I Bought This Phone - Indian Budget 5G Phone Market Reality !,61,12,1,0,1,0.16393442622950818,12,1085,14,2,751,527610,17922,1574,271836.5,2047479.7535149523,0.12492113758922802,medium
t5gdb2LYcG0,Technology,motorola G37 Power Hands On & First Look ⚡️ #TrakinShorts #Shorts,65,11,1,0,0,0.13846153846153847,22,755,6,1,88,117042,5408,135,271836.5,2047479.7535149523,-0.07560245698852991,medium
GPs4c5QW7tg,Technology,Oneplus Nord CE 6 Lite vs realme P4x - Best Phone Under 20000,61,13,1,0,0,0.14754098360655737,12,746,10,4,82,169528,4004,32,271836.5,2047479.7535149523,-0.049968015470905056,medium
8gesLyzSMe8,Technology,Smartphone Sale Is Here! ft. Samsung,36,6,0,0,1,0.1388888888888889,1,697,8,3,96,282189,9870,153,271836.5,2047479.7535149523,0.00505621605401843,medium
c347oYQO57A,Technology,So This is Peak Smartphone,26,5,0,0,0,0.15384615384615385,5,364,17,1,797,4671085,125427,6141,271836.5,2047479.7535149523,2.148616362358512,viral
serM0KWIFko,Technology,OnePlus Nord CE6 5G Review ✨ Best 5G Phone Under 30000,54,11,1,0,0,0.2037037037037037,21,434,6,3,29,265364,3155,35,271836.5,2047479.7535149523,-0.003161203420394522,medium
3RUjmyN6E2Q,Technology,Realme P4 Lite 5G Quick Review ✨ 5G Phone Under 15000,53,11,1,0,0,0.16981132075471697,17,217,6,3,38,217757,3857,39,271836.5,2047479.7535149523,-0.02641271539176911,medium
H8ARtNKywFE,Technology,VIVO T5x 5G TOP Features ⚡ Best 5G Phone Under 20000,52,11,1,0,0,0.2692307692307692,23,213,7,0,37,227858,3868,48,271836.5,2047479.7535149523,-0.02147933327521367,medium
zEOJxcuoGvk,Technology,All New Samsung Budget Phone Is Here Ft. Galaxy M17e⚡️ #TrakinShorts #Shorts,76,12,1,0,0,0.17105263157894737,20,657,8,1,87,295216,11994,134,271836.5,2047479.7535149523,0.011418672130878908,medium
dJTpTQIdeJ8,Technology,iPhone Audio Upgrade! Fosi Audio MD3 DAC Unboxing,49,8,1,0,1,0.22448979591836735,30,962,12,0,136,776,15,1,271836.5,2047479.7535149523,-0.13238738968464261,medium
0OIjNC-9aB0,Technology,Vivo T5 Pro vs Moto Edge 70 - Best Smartphone Under 30000 #vivot5pro #motoedge70 #smartphones,93,15,1,0,0,0.08602150537634409,0,0,15,2,97,106035,2983,72,271836.5,2047479.7535149523,-0.08097833432314289,medium
v0CyBRBF3hM,Technology,"realme P4x vs vivo T5x: Which 5G phone one to buy under ₹20,000?",64,13,1,1,0,0.0625,23,1558,12,1,85,223998,4518,82,271836.5,2047479.7535149523,-0.023364577802478692,medium
BzcpX7QCjCg,Technology,Infinix Note 60 Pro 5G Unboxing 🔥 First Look | Budget Beast? 😳,62,13,1,1,0,0.14516129032258066,0,1152,2,1,153,204610,7686,47,271836.5,2047479.7535149523,-0.0328337801067829,medium
DArtUQHFC7k,Technology,Best Phone Under 30000 in 2026 ⚡️ Best 5G Mobile Under 30000,60,12,1,0,0,0.11666666666666667,20,1399,7,5,91,1014717,24630,183,271836.5,2047479.7535149523,0.36282678679712516,high
j-uNK4RAxEY,Technology,The CRAZY Camera Phone ! #Shorts,32,6,0,0,1,0.28125,15,503,11,0,81,434809,21282,1077,271836.5,2047479.7535149523,0.07959663567867845,medium
Xl-vlushpJQ,Technology,Phone Reality Check  #Shorts,28,4,0,0,0,0.14285714285714285,3,49,12,2,54,3119975,61485,285,271836.5,2047479.7535149523,1.3910459896419194,viral
tAe_cZ__Fl4,Technology,Crazy motorola Deals Ft. Flipkart SASA LELE 2026 ⚡️#Shorts,58,9,1,0,0,0.22413793103448276,20,591,12,1,129,233657,10333,142,271836.5,2047479.7535149523,-0.01864707083645464,medium
