day,views,likes,comments,shares,estimatedMinutesWatched,subscribersGained,subscribersLost,net_growth,views_7d_avg,likes_7d_avg,comments_7d_avg,shares_7d_avg,total_engagements_7d,engagement_rate_7d
2019-09-06,8.0,1.0,0.0,0.0,161.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.125
2019-09-07,13.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,10.5,0.5,0.0,0.0,0.5,0.047619047619047616
2019-09-08,6.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0,9.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.037037037037037035
2019-09-09,17.0,1.0,0.0,0.0,269.0,0.0,0.0,0.0,11.0,0.5,0.0,0.0,0.5,0.045454545454545456
2019-09-10,7.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,10.2,0.4,0.0,0.0,0.4,0.03921568627450981
2019-09-11,12.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,10.5,0.3333333333333333,0.0,0.0,0.3333333333333333,0.031746031746031744
2019-09-12,8.0,0.0,0.0,0.0,199.0,0.0,0.0,0.0,10.142857142857142,0.2857142857142857,0.0,0.0,0.2857142857142857,0.028169014084507043
2019-09-13,18.0,0.0,0.0,0.0,312.0,0.0,0.0,0.0,11.571428571428571,0.14285714285714285,0.0,0.0,0.14285714285714285,0.012345679012345678
2019-09-14,13.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,11.571428571428571,0.14285714285714285,0.0,0.0,0.14285714285714285,0.012345679012345678
2019-09-15,4.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,11.285714285714286,0.14285714285714285,0.0,0.0,0.14285714285714285,0.012658227848101264
2019-09-16,9.0,3.0,0.0,0.0,62.0,0.0,0.0,0.0,10.142857142857142,0.42857142857142855,0.0,0.0,0.42857142857142855,0.04225352112676056
2019-09-17,31.0,0.0,0.0,1.0,316.0,0.0,0.0,0.0,13.571428571428571,0.42857142857142855,0.0,0.14285714285714285,0.5714285714285714,0.042105263157894736
2019-09-18,28.0,1.0,0.0,0.0,686.0,0.0,0.0,0.0,15.857142857142858,0.5714285714285714,0.0,0.14285714285714285,0.7142857142857142,0.045045045045045036
2019-09-19,31.0,1.0,0.0,2.0,448.0,0.0,0.0,0.0,19.142857142857142,0.7142857142857143,0.0,0.42857142857142855,1.1428571428571428,0.05970149253731343
2019-09-20,11.0,0.0,0.0,1.0,325.0,1.0,0.0,1.0,18.142857142857142,0.7142857142857143,0.0,0.5714285714285714,1.2857142857142856,0.07086614173228346
2019-09-21,15.0,0.0,0.0,0.0,435.0,0.0,0.0,0.0,18.428571428571427,0.7142857142857143,0.0,0.5714285714285714,1.2857142857142856,0.06976744186046512
2019-09-22,5.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,18.571428571428573,0.7142857142857143,0.0,0.5714285714285714,1.2857142857142856,0.06923076923076922
2019-09-23,8.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,18.428571428571427,0.2857142857142857,0.0,0.5714285714285714,0.8571428571428571,0.046511627906976744
2019-09-24,13.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,15.857142857142858,0.2857142857142857,0.0,0.42857142857142855,0.7142857142857142,0.045045045045045036
2019-09-25,8.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,13.0,0.14285714285714285,0.0,0.42857142857142855,0.5714285714285714,0.04395604395604395
2019-09-26,11.0,0.0,0.0,0.0,246.0,0.0,0.0,0.0,10.142857142857142,0.0,0.0,0.14285714285714285,0.14285714285714285,0.014084507042253521
2019-09-27,12.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,10.285714285714286,0.0,0.0,0.0,0.0,0.0
2019-09-28,16.0,1.0,1.0,1.0,264.0,1.0,0.0,1.0,10.428571428571429,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0410958904109589
2019-09-29,31.0,0.0,0.0,2.0,665.0,0.0,0.0,0.0,14.142857142857142,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.7142857142857142,0.0505050505050505
2019-09-30,22.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,16.142857142857142,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.7142857142857142,0.04424778761061946
2019-10-01,35.0,1.0,0.0,3.0,417.0,0.0,0.0,0.0,19.285714285714285,0.2857142857142857,0.14285714285714285,0.8571428571428571,1.2857142857142856,0.06666666666666667
2019-10-02,30.0,0.0,0.0,0.0,566.0,1.0,0.0,1.0,22.428571428571427,0.2857142857142857,0.14285714285714285,0.8571428571428571,1.2857142857142856,0.05732484076433121
2019-10-03,43.0,0.0,0.0,0.0,451.0,0.0,0.0,0.0,27.0,0.2857142857142857,0.14285714285714285,0.8571428571428571,1.2857142857142856,0.047619047619047616
2019-10-04,34.0,0.0,0.0,0.0,653.0,1.0,0.0,1.0,30.142857142857142,0.2857142857142857,0.14285714285714285,0.8571428571428571,1.2857142857142856,0.042654028436018954
2019-10-05,27.0,1.0,0.0,0.0,343.0,1.0,0.0,1.0,31.714285714285715,0.2857142857142857,0.0,0.7142857142857143,1.0,0.03153153153153153
2019-10-06,12.0,0.0,0.0,0.0,469.0,0.0,0.0,0.0,29.0,0.2857142857142857,0.0,0.42857142857142855,0.7142857142857142,0.02463054187192118
2019-10-07,12.0,0.0,0.0,0.0,313.0,0.0,0.0,0.0,27.571428571428573,0.2857142857142857,0.0,0.42857142857142855,0.7142857142857142,0.02590673575129533
2019-10-08,10.0,0.0,0.0,1.0,204.0,0.0,0.0,0.0,24.0,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.011904761904761904
